CREATE TABLE `bluestar`.`ticket` (`Ticket_ID` VARCHAR(4) NOT NULL , `CCCD` VARCHAR(12) NOT NULL , `Name` VARCHAR(50) NOT NULL , `Fly_ID` VARCHAR(4) NOT NULL , `Kg_ID` VARCHAR(3) NOT NULL , `Seat_ID` VARCHAR(3) NOT NULL , `Food_ID` VARCHAR(3) NULL DEFAULT NULL , `Ticket_Price` INT(10) NOT NULL , `Mail` VARCHAR(50) NOT NULL , `Dis_ID` INT(3) NULL DEFAULT NULL , PRIMARY KEY (`Ticket_ID`), UNIQUE (`Fly_ID`, `Seat_ID`, `CCCD`,`Name`,`Mail`), UNIQUE (`Fly_ID`, `Seat_ID`)) ENGINE = InnoDB;
INSERT INTO `ticket` (`Ticket_ID`, `CCCD`, `Name`, `Fly_ID`, `Kg_ID`, `Seat_ID`, `Food_ID`, `Ticket_Price`, `Mail`, `Dis_ID`) VALUES 
('T187', '511752432874', 'Châu Phúc Văn ', 'F22', 'K20', 'B22', 'F08', 1200000, 'hvqrazej@gmail.com', NULL),
('T188', '190394797628', 'Trần Minh Phúc ', 'F15', 'K07', 'D18', 'F07', 700000, 'evgqsnkf@gmail.com', 76),
('T189', '478365074351', 'Châu Bình Phúc ', 'F29', 'K20', 'C30', 'F04', 700000, 'alhvponj@gmail.com', 1),
('T190', '276792005688', 'Hoàng Đăng Trung ', 'F24', 'K07', 'F24', 'F10', 800000, 'wycppihl@gmail.com', 98),
('T191', '574199112225', 'Bùi Khang Thiên ', 'F22', 'K50', 'A23', 'F03', 800000, 'kcemuyct@gmail.com', 45),
('T192', '362380383049', 'Nguyễn Trí Trí ', 'F22', 'K50', 'C23', 'F10', 700000, 'zaiwjvle@gmail.com', 73),
('T193', '865585032334', 'Châu Thuý Nhật ', 'F22', 'K50', 'B23', 'F02', 1200000, 'uwpsifjb@gmail.com', NULL),
('T194', '850558761351', 'Châu Khang Văn ', 'F26', 'K07', 'C27', 'F09', 1700000, 'lkcltwam@gmail.com', NULL),
('T195', '965862019222', 'Trần Khang Phúc ', 'F05', 'K20', 'A06', 'F04', 2000000, 'atbyftbu@gmail.com', 6),
('T196', '050117086357', 'Trần Tuấn Nhật ', 'F01', 'K50', 'D02', 'F07', 700000, 'sqentswd@gmail.com', 35),
('T197', '403528072980', 'Lê Trung Trung ', 'F17', 'K50', 'A17', 'F07', 1500000, 'uftavilm@gmail.com', 45),
('T198', '610328817593', 'Huỳnh Mỹ Thuỳ ', 'F10', 'K50', 'D11', 'F06', 1200000, 'lcrlspfa@gmail.com', NULL),
('T199', '953394257293', 'Phùng Thanh Mỹ ', 'F14', 'K50', 'F14', 'F08', 800000, 'boibkwvu@gmail.com', 42),
('T200', '535152380628', 'Thạch Trọng Trung ', 'F09', 'K20', 'E09', 'F09', 1700000, 'czwofbqz@gmail.com', NULL);

